赛季,周数,选手名,裁判总分,估计粉丝票,死忠粉票,路人票,路人票占比,组合得分,预测淘汰,实际淘汰,预测正确
5,5,Jane Seymour,26.0,5519.0,1138.0,4381.0,0.206,0.248,False,False,True
5,5,Jennie Garth,25.0,6092.0,1105.0,4987.0,0.181,0.255,False,False,True
5,5,Marie Osmond,21.0,7032.0,943.0,6090.0,0.134,0.255,False,False,True
5,5,Mark Cuban,21.0,4527.0,909.0,3618.0,0.201,0.202,True,True,True
5,5,Mel B,29.0,5644.0,1272.0,4372.0,0.225,0.266,False,False,True
5,5,Sabrina Bryan,28.0,8124.0,1199.0,6925.0,0.148,0.314,False,False,True
5,6,Cameron Mathison,25.0,6083.0,1357.0,4725.0,0.223,0.288,False,False,False
5,6,Helio Castroneves,28.0,5125.0,1436.0,3689.0,0.28,0.281,False,False,False
5,6,Jane Seymour,22.0,4701.0,1119.0,3583.0,0.238,0.237,True,False,False
5,6,Jennie Garth,27.0,4327.0,1367.0,2960.0,0.316,0.256,False,False,False
5,6,Marie Osmond,23.0,6860.0,1172.0,5688.0,0.171,0.296,False,False,False
5,6,Mel B,30.0,5854.0,1581.0,4272.0,0.27,0.31,False,False,False
5,6,Sabrina Bryan,25.0,7878.0,1275.0,6603.0,0.162,0.332,False,True,False
5,7,Cameron Mathison,25.5,5259.0,1664.0,3595.0,0.316,0.317,False,False,True
5,7,Helio Castroneves,26.0,5784.0,1619.0,4164.0,0.28,0.336,False,False,True
5,7,Jane Seymour,25.0,4947.0,1641.0,3306.0,0.332,0.305,True,True,True
5,7,Jennie Garth,26.5,5766.0,1727.0,4040.0,0.299,0.338,False,False,True
5,7,Marie Osmond,26.0,7264.0,1660.0,5603.0,0.229,0.379,False,False,True
5,7,Mel B,27.0,5226.0,1686.0,3541.0,0.323,0.326,False,False,True
5,8,Cameron Mathison,25.5,6012.0,2086.0,3926.0,0.347,0.369,True,True,True
5,8,Helio Castroneves,28.5,6490.0,2330.0,4160.0,0.359,0.405,False,False,True
5,8,Jennie Garth,25.0,6562.0,2022.0,4539.0,0.308,0.381,False,False,True
5,8,Marie Osmond,24.5,7839.0,1967.0,5872.0,0.251,0.414,False,False,True
5,8,Mel B,28.0,7490.0,2210.0,5280.0,0.295,0.431,False,False,True
5,9,Helio Castroneves,30.0,7359.0,2735.0,4624.0,0.372,0.511,False,False,True
5,9,Jennie Garth,29.0,6781.0,2825.0,3956.0,0.417,0.483,True,True,True
5,9,Marie Osmond,28.0,8044.0,2692.0,5352.0,0.335,0.518,False,False,True
5,9,Mel B,30.0,6702.0,2887.0,3816.0,0.431,0.488,False,False,True
5,10,Helio Castroneves,28.0,8869.0,4232.0,4637.0,0.477,0.712,False,False,False
5,10,Marie Osmond,23.0,8661.0,3412.0,5248.0,0.394,0.64,True,False,False
5,10,Mel B,28.3,7179.0,4163.0,3016.0,0.58,0.648,False,False,False
6,1,Adam Carolla,15.0,3462.0,552.0,2909.0,0.16,0.128,False,False,False
6,1,Cristian de la Fuente,21.0,3635.0,751.0,2884.0,0.207,0.156,False,False,False
6,1,Jason Taylor,22.0,10322.0,906.0,9416.0,0.088,0.289,False,False,False
6,1,Kristi Yamaguchi,27.0,4792.0,1052.0,3741.0,0.219,0.203,False,False,False
6,1,Mario,24.0,3368.0,897.0,2471.0,0.266,0.164,False,False,False
6,1,Marissa Jaret Winokur,18.0,4432.0,706.0,3726.0,0.159,0.159,False,False,False
6,1,Marlee Matlin,22.0,3241.0,817.0,2424.0,0.252,0.153,False,False,False
6,1,Monica Seles,15.0,4946.0,584.0,4361.0,0.118,0.157,False,False,False
6,1,Penn Jillette,16.0,2588.0,607.0,1981.0,0.234,0.116,True,False,False
6,1,Priscilla Presley,24.0,2381.0,935.0,1446.0,0.393,0.145,False,False,False
6,1,Shannon Elizabeth,21.0,3312.0,801.0,2511.0,0.242,0.15,False,False,False
6,1,Steve Guttenberg,18.0,5416.0,678.0,4739.0,0.125,0.178,False,False,False
6,2,Adam Carolla,19.0,3333.0,767.0,2566.0,0.23,0.138,False,False,True
6,2,Cristian de la Fuente,20.0,4957.0,754.0,4203.0,0.152,0.173,False,False,True
6,2,Jason Taylor,27.0,10056.0,1050.0,9005.0,0.104,0.299,False,False,True
6,2,Kristi Yamaguchi,27.0,5268.0,1064.0,4203.0,0.202,0.207,False,False,True
6,2,Mario,26.0,3037.0,1014.0,2023.0,0.334,0.16,False,False,True
6,2,Marissa Jaret Winokur,21.0,3754.0,827.0,2928.0,0.22,0.154,False,False,True
6,2,Marlee Matlin,24.0,2643.0,930.0,1713.0,0.352,0.144,False,False,True
6,2,Monica Seles,15.0,4500.0,560.0,3940.0,0.125,0.145,False,True,True
6,2,Penn Jillette,17.0,2478.0,649.0,1829.0,0.262,0.114,True,True,True
6,2,Priscilla Presley,21.0,1994.0,822.0,1172.0,0.412,0.12,False,False,True
6,2,Shannon Elizabeth,24.0,3591.0,900.0,2691.0,0.251,0.163,False,False,True
6,2,Steve Guttenberg,16.0,6197.0,628.0,5569.0,0.101,0.182,False,False,True
6,3,Adam Carolla,21.0,2435.0,1004.0,1431.0,0.412,0.143,True,False,False
6,3,Cristian de la Fuente,25.0,6427.0,1180.0,5247.0,0.184,0.245,False,False,False
6,3,Jason Taylor,23.0,10840.0,1051.0,9789.0,0.097,0.33,False,False,False
6,3,Kristi Yamaguchi,27.0,4238.0,1223.0,3015.0,0.289,0.208,False,False,False
6,3,Mario,21.0,4133.0,969.0,3164.0,0.235,0.179,False,False,False
6,3,Marissa Jaret Winokur,19.0,5131.0,884.0,4247.0,0.172,0.192,False,False,False
6,3,Marlee Matlin,21.0,3698.0,987.0,2711.0,0.267,0.17,False,False,False
6,3,Priscilla Presley,26.0,2727.0,1193.0,1534.0,0.437,0.172,False,False,False
6,3,Shannon Elizabeth,24.0,3458.0,1120.0,2338.0,0.324,0.178,False,False,False
6,3,Steve Guttenberg,21.0,4313.0,968.0,3345.0,0.224,0.183,False,True,False
6,4,Adam Carolla,19.0,2960.0,970.0,1990.0,0.328,0.154,True,True,True
6,4,Cristian de la Fuente,26.0,5784.0,1323.0,4461.0,0.229,0.252,False,False,True
6,4,Jason Taylor,29.0,9059.0,1467.0,7592.0,0.162,0.343,False,False,True
6,4,Kristi Yamaguchi,29.0,5123.0,1433.0,3690.0,0.28,0.25,False,False,True
6,4,Mario,24.0,3640.0,1245.0,2395.0,0.342,0.193,False,False,True
6,4,Marissa Jaret Winokur,24.0,5181.0,1222.0,3959.0,0.236,0.229,False,False,True
6,4,Marlee Matlin,24.0,3298.0,1206.0,2092.0,0.366,0.185,False,False,True
6,4,Priscilla Presley,22.0,2576.0,1104.0,1471.0,0.429,0.159,False,False,True
6,4,Shannon Elizabeth,28.0,4727.0,1432.0,3295.0,0.303,0.236,False,False,True
6,5,Cristian de la Fuente,23.0,7239.0,1406.0,5832.0,0.194,0.286,False,False,True
6,5,Jason Taylor,27.0,9135.0,1669.0,7465.0,0.183,0.351,False,False,True
6,5,Kristi Yamaguchi,29.0,5759.0,1794.0,3965.0,0.312,0.282,False,False,True
6,5,Mario,27.0,4504.0,1665.0,2839.0,0.37,0.243,False,False,True
6,5,Marissa Jaret Winokur,24.0,5926.0,1435.0,4492.0,0.242,0.261,False,False,True
6,5,Marlee Matlin,22.0,3307.0,1359.0,1947.0,0.411,0.189,False,False,True
6,5,Priscilla Presley,21.0,2833.0,1284.0,1549.0,0.453,0.173,True,True,True
6,5,Shannon Elizabeth,23.0,4204.0,1433.0,2771.0,0.341,0.215,False,False,True
6,6,Cristian de la Fuente,27.0,6116.0,1874.0,4241.0,0.306,0.304,False,False,True
6,6,Jason Taylor,24.0,10661.0,1708.0,8952.0,0.16,0.401,False,False,True
6,6,Kristi Yamaguchi,30.0,5381.0,2112.0,3268.0,0.393,0.302,False,False,True
6,6,Mario,28.0,4084.0,2019.0,2066.0,0.494,0.258,False,False,True
6,6,Marissa Jaret Winokur,26.0,6429.0,1861.0,4568.0,0.289,0.306,False,False,True
6,6,Marlee Matlin,21.0,3704.0,1507.0,2197.0,0.407,0.21,True,True,True
6,6,Shannon Elizabeth,24.0,3419.0,1704.0,1715.0,0.498,0.219,False,False,True
6,7,Cristian de la Fuente,23.0,6981.0,2057.0,4923.0,0.295,0.337,False,False,True
6,7,Jason Taylor,27.5,7730.0,2468.0,5262.0,0.319,0.386,False,False,True
6,7,Kristi Yamaguchi,27.0,5851.0,2320.0,3531.0,0.396,0.332,False,False,True
6,7,Mario,25.5,5362.0,2194.0,3168.0,0.409,0.309,False,False,True
6,7,Marissa Jaret Winokur,26.0,6213.0,2321.0,3891.0,0.374,0.335,False,False,True
6,7,Shannon Elizabeth,25.5,5067.0,2309.0,2758.0,0.456,0.301,True,True,True
6,8,Cristian de la Fuente,28.5,7219.0,3019.0,4200.0,0.418,0.418,False,False,True
6,8,Jason Taylor,26.0,8878.0,2764.0,6113.0,0.311,0.446,False,False,True
6,8,Kristi Yamaguchi,27.5,6384.0,2925.0,3458.0,0.458,0.387,False,False,True
6,8,Mario,26.5,6149.0,2840.0,3310.0,0.462,0.373,True,True,True
6,8,Marissa Jaret Winokur,25.0,6635.0,2631.0,4004.0,0.397,0.375,False,False,True
6,9,Cristian de la Fuente,28.0,8099.0,3724.0,4375.0,0.46,0.501,False,False,True
6,9,Jason Taylor,27.5,9783.0,3859.0,5924.0,0.394,0.547,False,False,True
6,9,Kristi Yamaguchi,28.5,7458.0,3854.0,3603.0,0.517,0.486,False,False,True
6,9,Marissa Jaret Winokur,26.0,7547.0,3518.0,4028.0,0.466,0.466,True,True,True
6,10,Cristian de la Fuente,26.0,8718.0,4694.0,4024.0,0.538,0.613,True,False,False
6,10,Jason Taylor,28.5,10800.0,5150.0,5650.0,0.477,0.715,False,False,False
6,10,Kristi Yamaguchi,30.0,9062.0,5595.0,3466.0,0.617,0.672,False,False,False
7,1,Brooke Burke,24.5,4741.0,949.0,3793.0,0.2,0.169,False,False,True
7,1,Cloris Leachman,16.0,6222.0,644.0,5578.0,0.104,0.157,False,False,True
7,1,Cody Linley,20.5,6628.0,803.0,5825.0,0.121,0.181,False,False,True
7,1,Jeffrey Ross,12.0,3801.0,480.0,3322.0,0.126,0.105,True,True,True
